id_commune;code_region;population_municipale;population_comptee_a_part;population_total
02231;32;941;9;950
02232;32;362;10;372
02233;32;145;8;153
02234;32;83;1;84
02235;32;115;3;118
02236;32;330;3;333
02237;32;1502;16;1518
02238;32;1816;31;1847
02239;32;1244;85;1329
02240;32;218;3;221
02241;32;96;3;99
02242;32;641;11;652
02243;32;2923;47;2970
02244;32;63;3;66
02245;32;1805;35;1840
02246;32;611;4;615
02248;32;156;3;159
02249;32;100;0;100
02250;32;73;4;77
02251;32;27;1;28
02252;32;71;2;73
02253;32;358;3;361
02254;32;129;5;134
02255;32;153;2;155
02256;32;129;3;132
02257;32;437;13;450
02258;32;370;13;383
02259;32;392;15;407
02260;32;650;11;661
02261;32;391;9;400
02262;32;211;3;214
02263;32;112;0;112
02264;32;730;16;746
02265;32;99;2;101
02266;32;46;2;48
02267;32;292;10;302
02268;32;647;13;660
02269;32;155;6;161
02270;32;164;3;167
02271;32;130;2;132
02272;32;78;2;80
02273;32;207;0;207
02274;32;195;6;201
02275;32;319;6;325
02276;32;117;5;122
02277;32;342;7;349
02278;32;28;5;33
02279;32;553;25;578
02280;32;409;12;421
02281;32;256;11;267
02282;32;427;8;435
02283;32;287;8;295
02284;32;102;1;103
02286;32;867;11;878
02287;32;1048;27;1075
02288;32;347;8;355
02289;32;411;11;422
02290;32;2745;73;2818
02291;32;410;8;418
02292;32;1305;28;1333
02293;32;553;10;563
02294;32;207;8;215
02295;32;853;7;860
02296;32;1197;21;1218
02297;32;121;2;123
02298;32;1420;9;1429
02299;32;546;6;552
02302;32;321;12;333
02303;32;680;16;696
02304;32;2838;135;2973
02305;32;3001;55;3056
02306;32;510;9;519
02307;32;2060;159;2219
02308;32;476;8;484
02309;32;671;5;676
02310;32;248;7;255
02311;32;120;2;122
02312;32;1100;10;1110
02313;32;444;5;449
02315;32;1669;34;1703
02316;32;128;5;133
02317;32;218;4;222
02318;32;1381;18;1399
02319;32;490;8;498
02320;32;237;4;241
02321;32;901;189;1090
02322;32;386;3;389
02323;32;134;3;137
02324;32;281;3;284
02326;32;470;8;478
02327;32;163;1;164
02328;32;513;6;519
02329;32;425;9;434
02330;32;530;7;537
02331;32;110;3;113
02332;32;265;4;269
02333;32;164;0;164
02334;32;2958;70;3028
02335;32;183;8;191
02336;32;983;15;998
02337;32;168;4;172
02338;32;252;10;262
02339;32;690;9;699
02340;32;5235;74;5309
02341;32;268;1;269
02342;32;134;2;136
02343;32;81;0;81
02345;32;41;1;42
02346;32;664;12;676
02347;32;444;6;450
02349;32;56;0;56
02350;32;136;2;138
02351;32;113;6;119
02352;32;560;10;570
02353;32;287;10;297
02354;32;80;2;82
02355;32;953;26;979
02356;32;240;2;242
02357;32;71;2;73
02358;32;333;3;336
02359;32;1301;20;1321
02360;32;2751;39;2790
02361;32;4645;78;4723
02362;32;238;12;250
02363;32;390;3;393
02364;32;258;5;263
02366;32;324;7;331
02367;32;130;4;134
02368;32;574;7;581
02369;32;242;2;244
02370;32;610;5;615
02371;32;1578;35;1613
02372;32;347;10;357
02373;32;197;5;202
02374;32;861;9;870
02375;32;159;3;162
02376;32;174;5;179
02377;32;135;8;143
02378;32;129;5;134
02379;32;209;123;332
02380;32;24;1;25
02381;32;8710;187;8897
02382;32;1367;39;1406
02383;32;1452;46;1498
02384;32;56;2;58
02385;32;160;3;163
02386;32;225;2;227
02387;32;1015;35;1050
02388;32;225;6;231
02389;32;659;16;675
02390;32;264;2;266
02391;32;206;0;206
02392;32;311;6;317
02393;32;141;5;146
02395;32;141;6;147
02396;32;64;1;65
02397;32;1252;20;1272
02398;32;284;4;288
02399;32;607;5;612
02400;32;148;4;152
02401;32;194;2;196
02402;32;37;2;39
02403;32;260;7;267
02404;32;190;0;190
02405;32;535;5;540
02406;32;132;5;137
02407;32;199;9;208
02408;32;24304;666;24970
02409;32;268;4;272
02410;32;244;10;254
02411;32;203;4;207
02412;32;100;1;101
02413;32;244;4;248
02414;32;201;5;206
02415;32;160;4;164
02416;32;420;10;430
02417;32;116;0;116
02418;32;223;4;227
02419;32;269;9;278
02420;32;829;11;840
02421;32;106;1;107
02422;32;805;10;815
02423;32;422;8;430
02424;32;104;0;104
02425;32;172;3;175
02426;32;540;10;550
02427;32;138;1;139
02428;32;74;2;76
02429;32;122;1;123
02430;32;1281;119;1400
02431;32;383;9;392
02432;32;189;5;194
02433;32;221;8;229
02435;32;79;0;79
02438;32;249;9;258
02439;32;1177;20;1197
02440;32;138;0;138
02441;32;188;3;191
02442;32;90;1;91
02443;32;203;6;209
02444;32;121;0;121
02445;32;282;6;288
02446;32;118;1;119
02447;32;147;5;152
02448;32;121;4;125
02449;32;66;3;69
02450;32;366;4;370
02451;32;124;1;125
02452;32;236;10;246
02453;32;404;8;412
02454;32;404;3;407
02455;32;204;1;205
02456;32;299;4;303
02457;32;404;10;414
02458;32;820;17;837
02459;32;161;8;169
02460;32;201;1;202
02461;32;383;6;389
02462;32;231;2;233
02463;32;89;2;91
02464;32;365;2;367
02465;32;513;7;520
02466;32;133;0;133
02467;32;51;1;52
02468;32;2235;29;2264
02469;32;485;13;498
02470;32;435;12;447
02471;32;135;2;137
02472;32;409;7;416
02473;32;215;1;216
02474;32;392;4;396
02476;32;669;14;683
02477;32;964;21;985
02478;32;261;8;269
02480;32;312;3;315
02481;32;473;16;489
02482;32;54;1;55
02483;32;513;10;523
02484;32;527;3;530
02485;32;94;4;98
02486;32;107;1;108
02487;32;627;9;636
02488;32;156;2;158
02489;32;342;7;349
02490;32;126;3;129
02491;32;324;9;333
02492;32;454;8;462
02493;32;224;6;230
02494;32;127;2;129
02495;32;1046;15;1061
02496;32;100;1;101
02497;32;1154;29;1183
02498;32;763;13;776
02499;32;43;2;45
02500;32;810;19;829
02501;32;93;2;95
02502;32;1324;9;1333
02503;32;831;2;833
02504;32;1616;28;1644
02505;32;206;5;211
02506;32;195;6;201
02507;32;31;1;32
02508;32;151;6;157
02509;32;156;0;156
02510;32;151;2;153
02511;32;295;4;299
02512;32;270;5;275
02513;32;138;2;140
02514;32;704;15;719
02515;32;55;6;61
02516;32;67;1;68
02517;32;299;5;304
02518;32;303;3;306
02519;32;186;4;190
02520;32;741;7;748
02521;32;1364;14;1378
02522;32;74;2;76
02523;32;72;1;73
02524;32;694;15;709
02525;32;577;13;590
02526;32;99;3;102
02527;32;458;9;467
02528;32;228;5;233
02529;32;178;1;179
02530;32;78;1;79
02531;32;118;1;119
02532;32;986;18;1004
02533;32;111;8;119
02534;32;48;1;49
02535;32;113;5;118
02536;32;103;1;104
02537;32;202;1;203
02538;32;70;0;70
02539;32;702;8;710
02540;32;1227;36;1263
02541;32;421;6;427
02542;32;82;2;84
02543;32;2066;34;2100
02544;32;616;14;630
02545;32;187;2;189
02546;32;193;4;197
02547;32;66;1;67
02548;32;377;7;384
02549;32;846;25;871
02550;32;115;3;118
02551;32;115;0;115
02552;32;187;9;196
02553;32;244;4;248
02554;32;1071;22;1093
02555;32;2108;46;2154
02556;32;81;1;82
02557;32;127;0;127
02558;32;2557;28;2585
02559;32;462;4;466
02560;32;246;4;250
02561;32;153;4;157
02562;32;212;2;214
02563;32;164;3;167
02564;32;495;5;500
02565;32;291;3;294
02566;32;1104;23;1127
02567;32;279;8;287
02568;32;162;4;166
02569;32;471;3;474
02570;32;177;0;177
02571;32;717;75;792
02572;32;502;9;511
02573;32;60;1;61
02574;32;1432;28;1460
02575;32;1670;14;1684
02576;32;330;8;338
02577;32;90;1;91
02578;32;86;1;87
02579;32;125;9;134
02580;32;816;10;826
02581;32;323;1;324
02582;32;76;2;78
02583;32;54;2;56
02584;32;121;6;127
02585;32;259;7;266
02586;32;139;6;145
02587;32;355;7;362
02588;32;68;2;70
02589;32;261;0;261
02590;32;169;4;173
02591;32;135;1;136
02592;32;192;4;196
02593;32;1064;21;1085
02594;32;132;6;138
02595;32;133;0;133
02596;32;763;15;778
02598;32;669;18;687
02599;32;255;3;258
02600;32;347;5;352
02601;32;197;2;199
02602;32;1698;27;1725
02604;32;84;1;85
02605;32;192;5;197
02606;32;70;3;73
02607;32;78;3;81
02608;32;473;2;475
02609;32;20;0;20
02610;32;736;11;747
02612;32;127;1;128
02613;32;605;11;616
02614;32;265;7;272
02615;32;360;5;365
02616;32;211;3;214
02617;32;508;4;512
02618;32;694;12;706
02619;32;658;0;658
02620;32;347;9;356
02621;32;379;15;394
02622;32;54;0;54
02623;32;97;3;100
02624;32;275;66;341
02625;32;142;2;144
02626;32;334;7;341
02627;32;123;3;126
02628;32;217;6;223
02629;32;311;12;323
02631;32;411;5;416
02632;32;57;1;58
02633;32;60;0;60
02634;32;82;4;86
02635;32;146;5;151
02636;32;199;5;204
02637;32;293;10;303
02638;32;237;1;238
02639;32;346;7;353
02640;32;157;4;161
02641;32;111;4;115
02642;32;173;3;176
02643;32;769;8;777
02644;32;346;13;359
02645;32;192;9;201
02647;32;60;0;60
02648;32;1937;38;1975
02649;32;307;4;311
02650;32;357;6;363
02651;32;106;1;107
02652;32;104;1;105
02653;32;500;13;513
02654;32;82;1;83
02655;32;135;0;135
02656;32;394;10;404
02657;32;250;4;254
02658;32;236;8;244
02659;32;504;13;517
02660;32;38;2;40
02661;32;254;3;257
02662;32;322;9;331
02663;32;221;5;226
02664;32;123;3;126
02665;32;300;5;305
02666;32;1002;17;1019
02667;32;203;6;209
02668;32;1057;21;1078
02670;32;151;0;151
02671;32;287;5;292
02672;32;261;4;265
02673;32;444;7;451
02674;32;48;0;48
02675;32;133;1;134
02676;32;1716;40;1756
02677;32;240;3;243
02678;32;68;0;68
02679;32;150;4;154
02680;32;2294;37;2331
02681;32;279;5;284
02682;32;114;3;117
02683;32;110;3;113
02684;32;3314;57;3371
02685;32;120;1;121
02686;32;373;4;377
02687;32;333;9;342
02688;32;48;4;52
02689;32;41;1;42
02690;32;80;1;81
02691;32;53570;1281;54851
02693;32;221;3;224
02694;32;641;10;651
02695;32;81;0;81
02696;32;76;3;79
02697;32;384;5;389
02698;32;101;2;103
02699;32;280;3;283
02701;32;708;8;716
02702;32;602;22;624
02703;32;1083;13;1096
02704;32;247;4;251
02705;32;210;6;216
02706;32;566;11;577
02707;32;181;0;181
02708;32;215;8;223
02709;32;407;8;415
02710;32;742;18;760
02711;32;293;7;300
02712;32;142;3;145
02713;32;270;4;274
02714;32;358;2;360
02715;32;45;3;48
02716;32;290;5;295
02717;32;590;13;603
02718;32;121;3;124
02719;32;2028;41;2069
02720;32;2034;74;2108
02721;32;476;2;478
02722;32;28712;651;29363
02723;32;98;1;99
02724;32;61;1;62
02725;32;139;6;145
02726;32;181;3;184
02727;32;221;3;224
02728;32;264;4;268
02729;32;81;1;82
02730;32;267;6;273
02731;32;171;2;173
02732;32;104;0;104
02734;32;274;6;280
02735;32;17;0;17
02736;32;167;5;172
02737;32;552;12;564
02738;32;13588;200;13788
02739;32;335;7;342
02740;32;221;6;227
02741;32;539;5;544
02742;32;114;0;114
02743;32;158;1;159
02744;32;72;2;74
02745;32;121;1;122
02746;32;658;8;666
02747;32;83;0;83
02748;32;939;24;963
02749;32;219;7;226
02750;32;583;8;591
02751;32;144;2;146
02752;32;281;5;286
02753;32;328;4;332
02754;32;185;3;188
02755;32;589;10;599
02756;32;684;12;696
02757;32;529;8;537
02758;32;2012;37;2049
02759;32;370;3;373
02760;32;142;3;145
02761;32;211;4;215
02762;32;139;5;144
02763;32;219;4;223
02764;32;88;3;91
02765;32;246;10;256
02766;32;235;6;241
02767;32;322;3;325
02768;32;542;6;548
02769;32;898;14;912
