voie;id_bien;type_de_voie;id_no_voie
HIPPOLYTE GOURDON;568;RUE;20
DE LA LIBERATION;569;AV;100
DE SUZON;570;RUE;232
SARCIGNAN;571;RES;9001
D INGRIL;572;AV;86
ARAGO;573;RUE;19
JOLIOT CURIE;574;BD;17
GALPIN THIOU;575;RUE;25
JESUS;576;CHE;22
JEAN JAURES;577;CRS;77
LA VILLE;578;;5383
DE L HERMITAGE;579;CHE;4
DE LA DENT DE CROLLES;580;ALL;25
DE PRE MAYEN;581;ALL;220
DU CLOS CAPPERONY;582;RUE;315
CHARLES DE GAULLE;583;AV;93
DE LAREIGNE;584;CHE;220
ANDRE BOUILLAR;585;RUE;30
OLIVIER DE SERRES;586;RUE;5
DE TERRENOIRE;587;RUE;3
MARCEAU;588;RUE;8
OCEANIDES;589;BD;38
DE L ARDECHE;590;RUE;1
JEAN PAUL SARTRE;591;RUE;6
DES PERVENCHES;592;RUE;2
DUTHUARD;593;RUE;4
LOUIS GAIN;594;RUE;11
ST NICOLAS;595;RUE;48
DE LA RICHARDIERE;596;AV;9
CLAUDE DEBUSSY;597;MAIL;7
CHARLIER;598;RUE;43
RUE BERTRAND DE VOGUE;599;RUE;8
LUCRECE MERCIER;600;RUE;11
DE L EGLISE;601;PL;10
DU COLOMBIER;602;RUE;3
SAINT ANDRE;603;RUE;108
JULES FERRY;604;RUE;37
D ALSACE;605;RUE;16
DE LA MER;606;BD;150
LES MARMOTTES;607;RES;
DE BORDEAUX;608;RTE;34
RAYMOND DE VEYSSIERES;609;AV;2
REY LORAS;610;RUE;15
DU PERRON;611;RUE;27
DIDEROT;612;RUE;26
BAUDIN;613;RUE;13
PALAIS GRILLET;614;RUE;30
ROMAIN ROLLAND;615;QUAI;19
IMM LE GRAND PIC;616;;5168
TIGNY;617;;5215
DES VIGNES;618;IMP;143
DE COURMAYEUR;619;AV;166
SAINT MICHEL;620;BD;70
CLER;621;RUE;34
DE GRANGE BATELIERE;622;RUE;10
DE LA VILLETTE;623;BD;41
DE LA FONTAINE AU ROI;624;RUE;59
BRILLAT SAVARIN;625;RUE;79
EXELMANS;626;BD;12
PIXERECOURT;627;RUE;57
PARC DE L'EPINETTE;628;RUE;8
DU PRESBYTERE;629;RUE;15
DE WAILLY;630;AV;6
