id_bien;id_commune;type_local;surface_carrez;surface_reelle;nombre_pieces;surface_terrain
14239;78311;Appartement;68,12;68;3;
14240;78358;Appartement;53,83;54;3;
14241;78383;Appartement;87,8;82;4;
14242;78423;Appartement;100,33;100;5;
14243;78498;Appartement;22,69;22;1;
14244;78621;Appartement;75;75;4;
14245;78640;Appartement;23,58;25;1;
14246;78650;Appartement;19,07;29;2;
14247;78650;Appartement;24,44;37;1;
14248;78674;Appartement;44,75;44;2;
14249;80001;Appartement;38,5;38;1;
14250;82121;Appartement;89,27;90;4;
14251;82121;Appartement;116,68;115;4;
14252;83070;Appartement;25,38;25;2;
14253;83070;Appartement;29,01;30;2;
14254;83112;Maison;77,79;74;5;
14255;83127;Maison;93,39;92;4;
14256;83129;Appartement;30,65;30;2;
14257;85011;Appartement;45;45;3;158
14258;85226;Appartement;45,47;46;3;
14259;85226;Appartement;27,58;28;2;
14260;88160;Appartement;40,74;39;2;
14261;88321;Appartement;37,77;39;1;
14262;88413;Appartement;100;104;5;
14263;88465;Appartement;56,66;70;3;
14264;88465;Appartement;60;66;3;
14265;89387;Maison;71,58;71;3;
14266;91097;Appartement;44,8;45;2;
14267;91109;Maison;51,29;58;3;
14268;91161;Appartement;51,25;51;3;
14269;91174;Appartement;18,79;40;1;
14270;91179;Appartement;68,57;67;3;
14271;91223;Appartement;20,55;22;1;
