code_region;code_departement;id_commune;nom_commune
84;01;01357;ST GERMAIN DE JOUX
84;01;01358;ST GERMAIN LES PAROISSES
84;01;01359;ST GERMAIN SUR RENON
84;01;01360;ST JEAN DE GONVILLE
84;01;01361;ST JEAN DE NIOST
84;01;01362;ST JEAN DE THURIGNEUX
84;01;01363;ST JEAN LE VIEUX
84;01;01364;ST JEAN SUR REYSSOUZE
84;01;01365;ST JEAN SUR VEYLE
84;01;01366;STE JULIE
84;01;01367;ST JULIEN SUR REYSSOUZE
84;01;01368;ST JULIEN SUR VEYLE
84;01;01369;ST JUST
84;01;01370;ST LAURENT SUR SAONE
84;01;01371;ST MARCEL
84;01;01372;ST MARTIN DE BAVEL
84;01;01373;ST MARTIN DU FRENE
84;01;01374;ST MARTIN DU MONT
84;01;01375;ST MARTIN LE CHATEL
84;01;01376;ST MAURICE DE BEYNOST
84;01;01377;SAINT MAURICE D ECHAZEAUX
84;01;01378;ST MAURICE DE GOURDANS
84;01;01379;ST MAURICE DE REMENS
84;01;01380;ST NIZIER LE BOUCHOUX
84;01;01381;ST NIZIER LE DESERT
84;01;01382;STE OLIVE
84;01;01383;ST PAUL DE VARAX
84;01;01384;ST RAMBERT EN BUGEY
84;01;01385;ST REMY
84;01;01386;ST SORLIN EN BUGEY
84;01;01387;ST SULPICE
84;01;01388;ST TRIVIER DE COURTES
84;01;01389;ST TRIVIER SUR MOIGNANS
84;01;01390;ST VULBAS
84;01;01391;SALAVRE
84;01;01392;SAMOGNAT
84;01;01393;SANDRANS
84;01;01394;SATHONAY CAMP
84;01;01395;SATHONAY VILLAGE
84;01;01396;SAULT BRENAZ
84;01;01397;SAUVERNY
84;01;01398;SAVIGNEUX
84;01;01399;SEGNY
84;01;01400;SEILLONNAZ
84;01;01401;SERGY
84;01;01402;SERMOYER
84;01;01403;SERRIERES DE BRIORD
84;01;01404;SERRIERES SUR AIN
84;01;01405;SERVAS
84;01;01406;SERVIGNAT
84;01;01407;SEYSSEL
84;01;01408;SIMANDRE SUR SURAN
84;01;01409;SONGIEU
84;01;01410;SONTHONNAX LA MONTAGNE
84;01;01411;SOUCLIN
84;01;01412;SULIGNAT
84;01;01413;SURJOUX
84;01;01414;SUTRIEU
84;01;01415;TALISSIEU
84;01;01416;TENAY
84;01;01417;THEZILLIEU
84;01;01418;THIL
84;01;01419;THOIRY
84;01;01420;THOISSEY
84;01;01421;TORCIEU
84;01;01422;TOSSIAT
84;01;01423;TOUSSIEUX
84;01;01424;TRAMOYES
84;01;01425;LA TRANCLIERE
84;01;01426;TREFFORT CUISIAT
84;01;01427;TREVOUX
84;01;01428;VALEINS
84;01;01429;VANDEINS
84;01;01430;VARAMBON
84;01;01431;VAUX EN BUGEY
84;01;01432;VERJON
84;01;01433;VERNOUX
84;01;01434;VERSAILLEUX
84;01;01435;VERSONNEX
84;01;01436;VESANCY
84;01;01437;VESCOURS
84;01;01438;VESENEX CRASSY
84;01;01439;VESINES
84;01;01440;VEYZIAT
84;01;01441;VIEU D IZENAVE
84;01;01442;VIEU
84;01;01443;VILLARS LES DOMBES
84;01;01444;VILLEBOIS
84;01;01445;VILLEMOTIER
84;01;01446;VILLENEUVE
84;01;01447;VILLEREVERSURE
84;01;01448;VILLES
84;01;01449;VILLETTE SUR AIN
84;01;01450;VILLIEU LOYES MOLLON
84;01;01451;VIRIAT
84;01;01452;VIRIEU LE GRAND
84;01;01453;VIRIEU LE PETIT
84;01;01454;VIRIGNIN
84;01;01455;VOLOGNAT
84;01;01456;VONGNES
84;01;01457;VONNAS
84;01;01458;VOUVRAY
84;01;01459;HAUTEVILLE LOMPNES
32;02;02001;ABBECOURT
32;02;02002;ACHERY
