Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Code Mois,Mois,Unité,Valeur,Symbole,Description du Symbole
"PP","Prix à la Production","807","Macédoine du Nord","5532","Prix à la Production (USD/tonne)","21121b","Viande poids vif, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","USD","720.1","A","Chiffre officiel"
"PP","Prix à la Production","458","Malaisie","5532","Prix à la Production (USD/tonne)","21121b","Viande poids vif, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","USD","1255.7","A","Chiffre officiel"
"PP","Prix à la Production","458","Malaisie","5532","Prix à la Production (USD/tonne)","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","USD","2011.4","A","Chiffre officiel"
"PP","Prix à la Production","470","Malte","5532","Prix à la Production (USD/tonne)","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","USD","1341.7","A","Chiffre officiel"
"PP","Prix à la Production","480","Maurice","5532","Prix à la Production (USD/tonne)","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","USD","1911.8","A","Chiffre officiel"
"PP","Prix à la Production","484","Mexique","5532","Prix à la Production (USD/tonne)","21121b","Viande poids vif, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","USD","1159.1","A","Chiffre officiel"
"PP","Prix à la Production","484","Mexique","5532","Prix à la Production (USD/tonne)","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","USD","1634","A","Chiffre officiel"
"PP","Prix à la Production","508","Mozambique","5532","Prix à la Production (USD/tonne)","21121b","Viande poids vif, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","USD","2280.4","A","Chiffre officiel"
"PP","Prix à la Production","524","Népal","5532","Prix à la Production (USD/tonne)","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","USD","2572.3","A","Chiffre officiel"
"PP","Prix à la Production","578","Norvège","5532","Prix à la Production (USD/tonne)","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","USD","2317.5","A","Chiffre officiel"
"PP","Prix à la Production","540","Nouvelle-Calédonie","5532","Prix à la Production (USD/tonne)","21121b","Viande poids vif, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","USD","6719.9","A","Chiffre officiel"
"PP","Prix à la Production","554","Nouvelle-Zélande","5532","Prix à la Production (USD/tonne)","21121b","Viande poids vif, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","USD","1315.2","A","Chiffre officiel"
"PP","Prix à la Production","275","Palestine","5532","Prix à la Production (USD/tonne)","21121b","Viande poids vif, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","USD","2498.5","A","Chiffre officiel"
"PP","Prix à la Production","275","Palestine","5532","Prix à la Production (USD/tonne)","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","USD","3589.5","A","Chiffre officiel"
"PP","Prix à la Production","591","Panama","5532","Prix à la Production (USD/tonne)","21121b","Viande poids vif, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","USD","5048.5","A","Chiffre officiel"
